序号,年份,月,日,日期,标题,阅读数,获得点赞数,涉及领域,具体分类,消息来源,正面/负面,态度等级,新闻发生地点/相关提及地区,报纸
131,2016,3,1,2016/3/1,“COSER三千”COS太子妃泰国网友又一次惊呆了！,2939,9,文化,影视/娱乐,综合,正,称赞,none,xingxie
132,2016,3,2,2016/3/2,"中国游客在泰""吃霸王餐""不实或语言障碍所致！",6752,8,社会,旅游事故,新华社,正,客观中立,清迈,xingxie
133,2016,3,2,2016/3/2,云南卫视《你是我的旅伴》来泰拍摄招募选手！,1095,3,文化,影视/娱乐,综合,正,客观中立,昆明-苏梅岛,xingxie
134,2016,3,4,2016/3/4,突发！持假枪抢真枪5中国人抢劫枪店，1死，1伤，2人被捕，1人逃走！,47110,105,社会,突发事故,综合,负,批判,曼谷,xingxie
135,2016,3,4,2016/3/4,“90后”护士泰国海滩救人大喊“I‘manurse!”,4418,88,社会,旅游行为,东北网,正,称赞,哈尔滨-皮皮岛,xingxie
136,2016,3,5,2016/3/5,抢枪案续-劫匪头目落网，称抢枪是为了偷运回中国售卖！,4943,13,社会,突发事故,综合,负,批判,曼谷,xingxie
137,2016,3,5,2016/3/5,泰国驾照好处多中国游客扎堆考!,7029,24,社会,政策/利好,综合,正,客观中立,none,xingxie
138,2016,3,7,2016/3/7,劫枪店匪徒手机卡卖主或涉其他违法签证被取消被列入黑名单！,3370,8,社会,公共安全,综合,负,批判,广州-普吉府,xingxie
139,2016,3,8,2016/3/8,加速转型冲破阻碍-星暹专访TCL泰国公司总经理杨宗林,1143,10,经济,经济人物,综合,正,称赞,none,xingxie
140,2016,3,8,2016/3/8,中国游客芭提雅被抢损失6万铢！,8517,11,社会,突发事故,综合,负,批判,芭提雅,xingxie
141,2016,3,9,2016/3/9,逆转！“数十位中国男游客泰国海滩集体裸身群舞”经调查实为日本游客！,7110,22,社会,旅游形象,综合,正,客观中立,曼谷,xingxie
142,2016,3,1,2016/3/1,迅速衰老！泰国影迷对李连杰的现状表示担忧!,3718,15,文化,影视/娱乐,综合,正,客观中立,none,xingxie
143,2016,3,11,2016/3/11,日本公司就30名员工在泰群裸道歉，泰中日三国网友观点各异！,6665,21,社会,旅游形象,综合,正,客观中立,曼谷,xingxie
144,2016,3,11,2016/3/11,泰五家廉航抱团进军中国-瞄准两国二线城市,2373,9,经济,进出口/投资,综合,正,客观中立,曼谷-北京-广州-深圳-素叻他尼,xingxie
145,2016,3,12,2016/3/12,"游客带回泰国大米被查扣,这三类物品禁止携带入境!",18525,33,社会,旅游行为,综合,正,批判,武汉-曼谷,xingxie
146,2016,3,14,2016/3/14,泰国投资委推出投资新策略-投资泰国最高可免8年企业所得税！,2538,11,经济,进出口/投资,综合,正,客观中立,none,xingxie
147,2016,3,15,2016/3/15,中国女游客清迈古城门倒立被泰网友指责!？,2176,5,社会,旅游行为,综合,负,批判,清迈,xingxie
148,2016,3,16,2016/3/16,两名华人冒用泰国死人名贩毒被捕死者家属遭殃！,3081,5,社会,公共安全,综合,负,批判,曼谷,xingxie
149,2016,3,17,2016/3/17,中国放水饱受旱灾之苦的泰农哭笑不得~！,3727,18,社会,公共安全,综合,负,批判,none,xingxie
150,2016,3,19,2016/3/19,爱国教育:中国有抗日神剧泰国有韩国欧霸总理亲打广告~！,3115,12, 文化,影视/娱乐,综合,正,称赞,none,xingxie
151,2016,3,19,2016/3/19,泰商务部严控中印辣椒倾销泰国,1413,1,社会,政策/利好,综合,正,批判,none,xingxie
152,2015,9,1,2015/9/1,泰国乌达抛机场开通直飞南宁/南昌航线开通,642,2,社会,政策/利好,综合,正,称赞,乌达抛-南宁-南昌,shijie
153,2015,9,2,2015/9/2,曼谷爆炸案主嫌落网?!,735,1,社会,公共安全,综合,负,批判,曼谷,shijie
154,2015,9,3,2015/9/3,泰中书法展与拍卖会本月18日开幕,102,0,文化,交流切磋,综合,正,称赞,none,shijie
155,2015,9,4,2015/9/4,泰国G2G售米贪污案泰中15人遭起诉,261,1,社会,突发事故,综合,负,批判,none,shijie
156,2015,9,4,2015/9/4,曼谷警察逮捕3名中国籍扒手涉嫌盗窃机场捷运乘客财物,1030,2,社会,突发事故,综合,负,批判,曼谷,shijie
157,2015,9,4,2015/9/4,2中国女性游芭堤雅遭性侵两嫌犯落网,1535,0,社会,突发事故,综合,负,客观中立,芭堤雅,shijie
158,2015,9,7,2015/9/7,不满航班延误游客泰国廊曼大闹机场,217,0,社会,旅游行为,综合,负,批判,曼谷,shijie
159,2015,9,9,2015/9/9,谷爆炸案嫌犯供出中国首脑,3427,4,社会,公共安全,综合,负,批判,曼谷,shijie
160,2015,9,1,2015/9/1,清迈破赌球网逮捕17名中国籍嫌犯,422,2,社会,公共安全,综合,负,批判,清迈,shijie
161,2015,9,12,2015/9/12,爆炸案主嫌逃中国？警方：无证据,324,1,社会,公共安全,综合,负,客观中立,曼谷,shijie
162,2015,9,12,2015/9/12,清迈动物园明星熊猫林惠又孕了！待遇升级,100,0,文化,影视/娱乐,综合,正,称赞,清迈,shijie
163,2015,9,12,2015/9/12,中国双盗在曼谷珠宝展窃钻石,1083,2,社会,公共安全,综合,负,批判,曼谷,shijie
164,2015,9,14,2015/9/14,中国电影节曼谷开幕多部影片轮番上映,333,4,文化,影视/娱乐,新华社,正,称赞,曼谷,shijie
165,2015,9,14,2015/9/14,曼谷珠宝展失窃钻石医师从中国女子肚子取出钻石,4088,15,社会,公共安全,综合,负,批判,湖南-曼谷,shijie
166,2015,9,17,2015/9/17,「白娘子」古装照惹恼白庙主人,570,1,社会,旅游行为,综合,负,批判,清莱府,shijie
167,2015,9,22,2015/9/22,泰旅游局组团出席中国-东盟博览会参观南宁美食街芭堤雅拟引进,193,0,政治,中泰关系,综合,正,称赞,南宁-芭堤雅,shijie
168,2015,9,23,2015/9/23,熊猫林惠荷尔蒙续降宝宝可随时降生,61,1,文化,影视/娱乐,综合,正,称赞,清迈,shijie
169,2015,9,23,2015/9/23,阿里巴巴继续深化跨境电商战略聚划算携手泰王国商业部联合首发全球直供年卡,326,0,经济,进出口/投资,综合,正,称赞,none,shijie
170,2015,9,23,2015/9/23,港星米雪/任达华拜四面佛挺泰观光,1495,6,文化,影视/娱乐,综合,正,客观中立,香港-曼谷,shijie
171,2015,9,24,2015/9/24,中国使馆提醒赴泰游客：莫带「有钱就是大爷」的心态出国,757,4,社会,旅游形象,中新社,负,批判,none,shijie
172,2015,9,24,2015/9/24,两中国游客租机车玩苏梅岛遭追尾一死一伤,2663,4,社会,突发事故,综合,负,客观中立,苏梅岛,shijie
173,2015,9,25,2015/9/25,中国国庆临近酒店预订回温,172,0,社会,政策/利好,综合,正,客观中立,none,shijie
174,2015,9,3,2015/9/3,中国大使馆证服务中心开业,384,3,社会,政策/利好,新华社,正,客观中立,曼谷,shijie
175,2015,10,1,2015/10/1,中国客清迈遭宰1万4000铢怒报警,732,5,社会,突发事故,综合,负,批判,清迈,shijie
176,2015,10,3,2015/10/3,中爱清迈国庆长假消费上看4亿,464,3,经济,经济形势,综合,正,客观中立,清迈,shijie
177,2015,10,5,2015/10/5,中国游客超多清迈象园大象不够骑,642,5,社会,旅游行为,综合,负,批判,清迈,shijie
178,2015,10,7,2015/10/7,2名中国黑导被查10万铢贿赂警员罪加一等,1964,3,社会,公共安全,综合,负,批判,普吉岛,shijie
179,2015,10,8,2015/10/8,中国游客游攀牙体验浮潜却意外呛水身亡,1292,0,社会,突发事故,综合,负,客观中立,攀牙府,shijie
180,2015,10,9,2015/10/9,曼谷唐人街九皇斋胜会12日登场,574,3,文化,风俗民俗介绍,综合,正,称赞,曼谷,shijie
181,2015,10,1,2015/10/1,香港游客坠崖魂断清迈,505,1,社会,突发事故,综合,负,客观中立,香港-清迈,shijie
182,2015,10,14,2015/10/14,中国游客丧命清迈丛林飞越将关闭休整3天,1176,2,社会,公共安全,综合,负,客观中立,清迈,shijie
183,2015,10,15,2015/10/15,泰中共建橡胶学院,266,1,社会,政策/利好,综合,正,客观中立,青岛,shijie
184,2015,10,16,2015/10/16,曼谷唐人街黑心商人趁九皇斋节卖塑胶豆皮,1044,0,社会,公共安全,综合,负,批判,曼谷,shijie
185,2015,10,17,2015/10/17,清遇丛林飞跃遇难中国游客获赔130万铢,651,0,社会,突发事故,综合,负,客观中立,清迈,shijie
186,2015,10,19,2015/10/19,中国客突发心脏病暴毙普吉酒店,423,0,社会,突发事故,综合,负,客观中立,普吉岛,shijie
187,2015,10,24,2015/10/24,贵州广场舞大妈普吉岛亮相,374,0,文化,影视/娱乐,综合,正,称赞,贵阳-普吉岛,shijie
188,2015,10,28,2015/10/28,「微笑之邦」也宰客游泰功课要做足,389,2,社会,旅游形象,新华社,负,批判,none,shijie
189,2015,11,3,2015/11/3,不肯降息泰中铁路投资额难乔,548,1,经济,国际经济合作,综合,负,批判,台北,shijie
190,2015,11,3,2015/11/3,中国男游客脚踹老虎笼泰国网友：没水准,728,5,社会,旅游行为,综合,负,批判,诗拉差,shijie
191,2015,11,7,2015/11/7,泰国导游：中国客越来越文明,1419,5,社会,旅游形象,综合,正,称赞,none,shijie
192,2015,11,1,2015/11/1,泰国旅游迎旺季香港明星团拜四面佛,864,1,文化,影视/娱乐,综合,正,称赞,曼谷,shijie
193,2015,11,1,2015/11/1,清迈超大碗面中国小女生挑战成功,1003,5,社会,旅游行为,综合,正,称赞,清迈,shijie
194,2015,11,13,2015/11/13,罪上加罪！3名中国籍非法导游乱讲解被捕,5539,16,社会,旅游行为,综合,负,批判,曼谷,shijie
195,2015,11,17,2015/11/17,中国客再遭飞车抢劫损失10万铢,902,8,社会,突发事故,综合,负,批判,清迈,shijie
196,2015,11,18,2015/11/18,中国企业斥资200亿打造机场城─「普吉航厦」,704,4,经济,进出口/投资,综合,正,称赞,普吉府,shijie
197,2015,11,19,2015/11/19,泰中空军将联合特技飞行表演民众可免费观看,145,0,军事,联合训练/军演,综合,正,称赞,呵叻府,shijie
198,2015,11,21,2015/11/21,清迈嫌犯专抢中国游客声称失业无力抚养3岁孩子,572,1,社会,公共安全,综合,负,批判,清迈,shijie
199,2015,11,27,2015/11/27,中国强调：遭泰遣返2异议人士“是人蛇”强烈不满UN干涉,410,4,政治,政府行为,综合,正,客观中立,成都-曼谷,shijie
200,2015,12,1,2015/12/1,香港74岁老翁Terminal21百货坠下死亡,842,4,社会,突发事故,综合,负,客观中立,香港-曼谷,shijie
201,2015,12,4,2015/12/4,泰国百万吨大米成功签售中国,2254,8,经济,进出口/投资,综合,正,称赞,none,shijie
202,2015,12,7,2015/12/7,18艘中国大渔船停靠泰国私人码头惊动当地民众,535,2,社会,突发事故,综合,负,批判,萨差罗码头,shijie
203,2015,12,7,2015/12/7,普吉-厦门明年将缔结姐妹城市,358,3,经济,经济政策,综合,正,称赞,厦门-普吉,shijie
204,2015,12,8,2015/12/8,过马路不慎中国游客魂断清迈,1441,4,社会,突发事故,综合,负,客观中立,清迈,shijie
205,2015,12,15,2015/12/15,斯米兰岛救生员及时救落水中国游客网友大赞,693,7,社会,突发事故,综合,正,称赞,攀牙府,shijie
206,2015,12,16,2015/12/16,看好一带一路中国人涌泰购房,1435,0,社会,政策/利好,综合,正,称赞,none,shijie
207,2015,12,17,2015/12/17,中国游客用9000人民币换到50.5万泰铢!!!,3235,3,社会,旅游行为,综合,负,批判,沙缴府,shijie
208,2015,12,18,2015/12/18,3名中国籍扒手专扒曼谷素汪那普日本游客,2371,6,社会,公共安全,综合,负,批判,曼谷,shijie
209,2015,12,21,2015/12/21,大马华裔游团旅游巴士清迈坠谷13死12伤,564,1,社会,突发事故,综合,负,客观中立,清迈,shijie
210,2015,12,22,2015/12/22,信武里美味鳄鱼肉干吸引中国观光客,219,0,社会,政策/利好,综合,正,称赞,香港-台北-信武里府,shijie
211,2015,12,25,2015/12/25,中泰警察联手破获电话诈骗团伙逮捕14名大陆嫌犯/13名台湾嫌犯,429,2,社会,公共安全,综合,负,批判,台北-乍都节区,shijie
212,2015,12,28,2015/12/28,带中国团非法导游攀牙府落网,749,0,社会,公共安全,综合,负,批判,攀牙府,shijie
213,2015,12,3,2015/12/3,新年泰国旅游火爆创收估125亿铢,324,0,经济,经济形势,综合,正,称赞,none,shijie
214,2015,12,3,2015/12/3,清迈云南菜道地皇上曾驾访品尝,462,2,文化,影视/娱乐,中央社,正,称赞,云南-清迈,shijie
215,2015,12,31,2015/12/31,硕士论文不过关中国女教师寻短见,309,0,社会,突发事故,综合,负,批判,海南-北标府,shijie
216,2016,1,4,2016/1/4,中国女客游清迈遭鳄鱼咬伤住院,535,2,社会,突发事故,综合,负,客观中立,上海-清迈,shijie
217,2016,1,4,2016/1/4,5名中国嫌犯伪造信用卡大肆在泰买金,595,1,社会,公共安全,综合,负,批判,none,shijie
218,2016,1,7,2016/1/7,普吉醉酒闹事3中国导游遭围殴,831,1,社会,旅游行为,综合,负,批判,普吉,shijie
219,2016,1,9,2016/1/9,"蔡琴个唱曼谷登场3,000座位秒杀",516,1,文化,影视/娱乐,综合,正,称赞,台北-曼谷,shijie
220,2016,1,9,2016/1/9,中国驻泰大使馆提醒：观光客须谨防溺水/赌博陷阱,444,0,社会,公共安全,综合,正,客观中立,none,shijie
221,2016,1,12,2016/1/12,中国黑帮犯案增加泰警密切注意,469,0,社会,公共安全,综合,负,批判,none,shijie
222,2016,1,12,2016/1/12,普吉中国黑导被驱逐出境,3926,8,社会,旅游形象,综合,负,批判,普吉,shijie
223,2016,1,13,2016/1/13,攀牙旅游巴士翻复18中国游客伤,166,0,社会,突发事故,综合,负,客观中立,攀牙,shijie
224,2016,1,13,2016/1/13,中国驻宋卡领馆温馨提醒：游客文明旅行安全保管个人财物,188,0,社会,旅游形象,综合,正,批判,none,shijie
225,2016,1,13,2016/1/13,中国游客爱「兜」着走清迈餐厅怕怕,2325,3,社会,旅游行为,综合,负,批判,none,shijie
226,2016,1,14,2016/1/14,游芭堤雅被逼买鳄鱼皮包2中国游客报警,1481,3,社会,突发事故,综合,负,批判,芭堤雅,shijie
227,2016,1,16,2016/1/16,中国游客被逼买鳄鱼皮包警方怀疑是编造,830,4,社会,突发事故,综合,负,批判,none,shijie
228,2016,1,21,2016/1/21,泰中铁路合资公司中方比例或增,240,0,经济,国际经济合作,综合,正,客观中立,none,shijie
229,2016,1,26,2016/1/26,中国开放「二孩」众多家庭涌泰做试管,761,1,社会,政策/利好,中央社,负,批判,none,shijie
230,2016,1,28,2016/1/28,「人骨神仙娃娃」灵力加强热销中国？,839,1,文化,风俗民俗介绍,综合,负,批判,台北,shijie
231,2016,1,28,2016/1/28,来泰过春节曼谷/清迈最有年味,808,2,文化,风俗民俗介绍,综合,正,称赞,曼谷-清迈,shijie
232,2016,1,3,2016/1/3,PP岛两快艇相撞5名中国游客受伤,738,0,社会,突发事故,综合,负,客观中立,PP岛,shijie
233,2016,2,1,2016/2/1,「遇见邓丽君-朗嘎拉姆私享音乐会」2月6日曼谷登场,411,4,文化,影视/娱乐,综合,正,称赞,台北-曼谷,shijie
234,2016,2,3,2016/2/3,中国游客来泰消费购物宜小心,1719,1,社会,旅游行为,综合,负,客观中立,none,shijie
235,2016,2,4,2016/2/4,中国男游客在普吉岛潜水溺亡,401,0,社会,突发事故,综合,负,客观中立,普吉岛,shijie
236,2016,2,4,2016/2/4,缩减铁路投资规模泰中达共识,764,2,经济,国际经济合作,综合,正,客观中立,none,shijie
237,2016,2,5,2016/2/5,中国客游清迈参观邓丽君逝世酒店,652,2,社会,旅游行为,综合,正,称赞,成都-清迈,shijie
238,2016,2,7,2016/2/7,游泰国过中国年曼谷中国城年味足,1502,11,社会,政策/利好,中央社,正,称赞,潮汕-曼谷,shijie
239,2016,2,7,2016/2/7,206南台湾强震】爱心赈灾专户再次启动,69,0,社会,突发事故,综合,正,客观中立,台北,shijie
240,2016,2,7,2016/2/7,南台大震速报:22人遇难510123人待救援,197,0,社会,突发事故,综合,正,客观中立,台北,shijie
241,2016,2,11,2016/2/11,泰女被骗1270万台湾籍电信诈骗嫌犯落网,477,1,社会,公共安全,综合,负,批判,台北-吞武里府,shijie
242,2016,2,11,2016/2/11,游曼谷必看电影豪奢舒适又超值,404,2,文化,影视/娱乐,中央社台北10日电,正,称赞,曼谷,shijie
243,2016,2,12,2016/2/12,206南台湾强震」爱心赈灾专户再次启动,119,1,社会,突发事故,综合,正,客观中立,台北,shijie
244,2016,2,12,2016/2/12,曼谷爆炸案最后一名中国伤者苏醒,729,10,社会,突发事故,新华社,负,客观中立,成都-曼谷,shijie
245,2016,2,12,2016/2/12,46名中国游客预订苏梅酒店房间并付近50万铢订金入住当天被通知客满,3897,9,社会,突发事故,综合,负,批判,苏梅岛,shijie
246,2016,2,17,2016/2/17,巴育总理出席美-东盟领袖峰会表态-南海问题复杂,450,0,政治,中泰关系,综合,正,客观中立,none,shijie
247,2016,2,19,2016/2/19,中国自驾游泰清莱府尹吁办保险,645,3,社会,旅游行为,综合,正,客观中立,清莱府,shijie
248,2016,2,2,2016/2/2,徐静蕾被误在泰倒卖珠子？遭海关扣留1小时,902,1,文化,影视/娱乐,综合,正,客观中立,北京-曼谷,shijie
249,2016,2,2,2016/2/2,中国男游客游苏梅违规下水不幸溺亡,3008,3,社会,突发事故,综合,负,客观中立,苏梅岛,shijie
250,2016,2,2,2016/2/2,清迈丛林飞越再出事2中国游客受伤,1900,4,社会,突发事故,综合,负,客观中立,清迈,shijie
251,2016,2,22,2016/2/22,中国自驾房车从清迈开到普吉停靠景区/街边过夜泰网友炮轰,1564,7,社会,旅游行为,综合,负,批判,清迈-普吉,shijie
252,2016,2,23,2016/2/23,中国商家涌泰承包果园园主投诉出价低扰乱市场商业部紧盯,1171,1,经济,进出口/投资,综合,负,批判,none,shijie
253,2016,2,24,2016/2/24,普吉巴士刹车失灵30名中国游客受伤,1079,1,社会,突发事故,综合,负,客观中立,普吉,shijie
254,2016,2,25,2016/2/25,中国女游客浮潜魂断罗勇海域,926,1,社会,突发事故,综合,负,客观中立,罗勇府,shijie
255,2016,2,26,2016/2/26,中国大使馆提醒：在泰中国公民切勿逾期滞留,727,0,社会,旅游行为,新华社,负,批判,none,shijie
256,2016,2,26,2016/2/26,曼谷唐人街火锅店爆炸起火仅2人受伤,502,2,社会,突发事故,综合,负,客观中立,曼谷,shijie
257,2016,2,26,2016/2/26,中国汽车驶入泰国比照泰国汽车入境中国手续费和保险费收费标准,7933,22,社会,政策/利好,综合,负,批判,none,shijie
258,2016,2,27,2016/2/27,中国客麻烦多清迈盼严加管理,906,2,社会,旅游形象,综合,负,批判,清迈,shijie
259,2016,3,1,2016/3/1,才2570铢18名中国客吵着要吃霸王餐,19816,47,社会,旅游行为,综合,负,批判,清迈,shijie
260,2016,3,3,2016/3/3,霸王餐事件核实客人没赖帐泰铢不够以人民币支付语言不通致误解,1237,9,社会,旅游形象,综合,负,客观中立,清迈,shijie
261,2016,3,4,2016/3/4,人赃俱获中国男飞机上行窃,1028,2,社会,公共安全,综合,负,批判,郑州-曼谷,shijie
262,2016,3,7,2016/3/7,曼谷劫枪案第6嫌犯拥上万芯片危及治安被撤签证,2055,4,社会,公共安全,综合,负,批判,南宁-曼谷,shijie
263,2016,3,8,2016/3/8,没在指定商店购物中国游客遭拒运送,790,5,社会,旅游形象,综合,负,客观中立,曼谷,shijie
264,2016,3,8,2016/3/8,亚洲旅游团游客一丝不挂在华欣海边玩水旅游公司接受审讯,1368,2,社会,旅游形象,综合,负,客观中立,曼谷,shijie
265,2016,3,9,2016/3/9,香港记者携防弹衣案泰撤诉,374,0,社会,公共安全,综合,负,客观中立,香港-曼谷,shijie
266,2016,3,1,2016/3/1,威胁到泰国社会安全苏酥被遭遣返中国,751,1,社会,公共安全,综合,负,批判,none,shijie
267,2016,3,11,2016/3/11,清迈车管所：游客无驾照禁止租车,818,2,社会,旅游行为,综合,负,批判,清迈,shijie
268,2016,3,15,2016/3/15,清迈塔佩门倒立拍照中国游客被骂,799,2,社会,旅游行为,综合,负,批判,清迈,shijie
269,2016,3,15,2016/3/15,泰国交通部规定外籍车只能入境30天,2184,3,社会,旅游形象,综合,负,批判,none,shijie
270,2016,3,17,2016/3/17,泰国旅游首季251万中国游客入境收入增加将推5项目吸引中国客,1152,4,经济,经济政策,综合,正,客观中立,none,shijie
